gun,saat,sicaklik,durum
1,0,-7.4,Buzlanma
1,1,-6.9,Buzlanma
1,2,-6.6,Buzlanma
1,3,-5.5,Buzlanma
1,4,-4.8,Buzlanma
1,5,-5.5,Buzlanma
1,6,-3.4,Buzlanma
1,7,-1.1,Buzlanma
1,8,0.4,Buzlanma Riski
1,9,1.6,Buzlanma Riski
1,10,2.6,Buzlanma Riski
1,11,2.8,Buzlanma Riski
1,12,2.1,Buzlanma Riski
1,13,0.9,Buzlanma Riski
1,14,-0.5,Buzlanma
1,15,-2.3,Buzlanma
1,16,-2.9,Buzlanma
1,17,-3.1,Buzlanma
1,18,-3.8,Buzlanma
1,19,-4.2,Buzlanma
1,20,-4.4,Buzlanma
1,21,-4.5,Buzlanma
1,22,-4.8,Buzlanma
1,23,-4.9,Buzlanma
2,0,-4.7,Buzlanma
2,1,-5.0,Buzlanma
2,2,-4.8,Buzlanma
2,3,-5.1,Buzlanma
2,4,-5.3,Buzlanma
2,5,-5.3,Buzlanma
2,6,-3.4,Buzlanma
2,7,-1.8,Buzlanma
2,8,-0.7,Buzlanma
2,9,0.4,Buzlanma Riski
2,10,1.2,Buzlanma Riski
2,11,1.6,Buzlanma Riski
2,12,1.4,Buzlanma Riski
2,13,0.3,Buzlanma Riski
2,14,-2.5,Buzlanma
2,15,-2.8,Buzlanma
2,16,-3.1,Buzlanma
2,17,-3.7,Buzlanma
2,18,-3.9,Buzlanma
2,19,-4.0,Buzlanma
2,20,-4.8,Buzlanma
2,21,-5.5,Buzlanma
2,22,-5.7,Buzlanma
2,23,-5.8,Buzlanma
3,0,-6.9,Buzlanma
3,1,-7.6,Buzlanma
3,2,-7.3,Buzlanma
3,3,-7.8,Buzlanma
3,4,-7.8,Buzlanma
3,5,-7.2,Buzlanma
3,6,-4.2,Buzlanma
3,7,-1.9,Buzlanma
3,8,0.1,Buzlanma Riski
3,9,1.6,Buzlanma Riski
3,10,2.5,Buzlanma Riski
3,11,3.0,Buzlanma Riski
3,12,2.1,Buzlanma Riski
3,13,0.6,Buzlanma Riski
3,14,-1.9,Buzlanma
3,15,-4.3,Buzlanma
3,16,-4.3,Buzlanma
3,17,-4.4,Buzlanma
3,18,-2.9,Buzlanma
3,19,-2.6,Buzlanma
3,20,-3.7,Buzlanma
3,21,-3.2,Buzlanma
3,22,-2.9,Buzlanma
3,23,-3.6,Buzlanma
4,0,-7.2,Buzlanma
4,1,-8.3,Buzlanma
4,2,-8.4,Buzlanma
4,3,-5.6,Buzlanma
4,4,-6.4,Buzlanma
4,5,-6.6,Buzlanma
4,6,-3.4,Buzlanma
4,7,-1.0,Buzlanma
4,8,0.9,Buzlanma Riski
4,9,2.1,Buzlanma Riski
4,10,3.0,Buzlanma Riski
4,11,3.4,Buzlanma Riski
4,12,3.1,Buzlanma Riski
4,13,1.0,Buzlanma Riski
4,14,-3.0,Buzlanma
4,15,-2.7,Buzlanma
4,16,-1.9,Buzlanma
4,17,-0.6,Buzlanma
4,18,-0.1,Buzlanma
4,19,-3.4,Buzlanma
4,20,-3.6,Buzlanma
4,21,-3.8,Buzlanma
4,22,-3.5,Buzlanma
4,23,-3.9,Buzlanma
5,0,-6.5,Buzlanma
5,1,-6.5,Buzlanma
5,2,-4.6,Buzlanma
5,3,-6.7,Buzlanma
5,4,-7.2,Buzlanma
5,5,-6.4,Buzlanma
5,6,-3.4,Buzlanma
5,7,-1.1,Buzlanma
5,8,1.0,Buzlanma Riski
5,9,2.5,Buzlanma Riski
5,10,3.3,Buzlanma Riski
5,11,3.8,Buzlanma Riski
5,12,3.1,Buzlanma Riski
5,13,0.8,Buzlanma Riski
5,14,-1.9,Buzlanma
5,15,-4.1,Buzlanma
5,16,-3.1,Buzlanma
5,17,-0.8,Buzlanma
5,18,-0.8,Buzlanma
5,19,-0.6,Buzlanma
5,20,-0.6,Buzlanma
5,21,-2.1,Buzlanma
5,22,-0.3,Buzlanma
5,23,-0.9,Buzlanma
6,0,-5.5,Buzlanma
6,1,-4.0,Buzlanma
6,2,-7.2,Buzlanma
6,3,-6.4,Buzlanma
6,4,-5.4,Buzlanma
6,5,-6.2,Buzlanma
6,6,-1.6,Buzlanma
6,7,1.0,Buzlanma Riski
6,8,3.3,Buzlanma Riski
6,9,4.9,Normal
6,10,6.2,Normal
6,11,6.7,Normal
6,12,5.1,Normal
6,13,4.1,Normal
6,14,-0.9,Buzlanma
6,15,-1.4,Buzlanma
6,16,-1.6,Buzlanma
6,17,-1.8,Buzlanma
6,18,-2.0,Buzlanma
6,19,-2.2,Buzlanma
6,20,-1.9,Buzlanma
6,21,-1.4,Buzlanma
6,22,-0.4,Buzlanma
6,23,-0.1,Buzlanma
7,0,-3.1,Buzlanma
7,1,-2.5,Buzlanma
7,2,-2.1,Buzlanma
7,3,-3.0,Buzlanma
7,4,-3.1,Buzlanma
7,5,-3.1,Buzlanma
7,6,1.1,Buzlanma Riski
7,7,3.4,Buzlanma Riski
7,8,5.6,Normal
7,9,7.3,Normal
7,10,8.2,Normal
7,11,8.4,Normal
7,12,7.3,Normal
7,13,4.3,Normal
7,14,3.4,Buzlanma Riski
7,15,-0.8,Buzlanma
7,16,-0.4,Buzlanma
7,17,-0.6,Buzlanma
7,18,-1.1,Buzlanma
7,19,-2.0,Buzlanma
7,20,-2.5,Buzlanma
7,21,-2.1,Buzlanma
7,22,-2.7,Buzlanma
7,23,-2.9,Buzlanma
8,0,-3.2,Buzlanma
8,1,-1.0,Buzlanma
8,2,-0.6,Buzlanma
8,3,-0.9,Buzlanma
8,4,-1.4,Buzlanma
8,5,-4.7,Buzlanma
8,6,-0.3,Buzlanma
8,7,2.2,Buzlanma Riski
8,8,4.0,Buzlanma Riski
8,9,5.3,Normal
8,10,6.1,Normal
8,11,6.3,Normal
8,12,5.2,Normal
8,13,2.8,Buzlanma Riski
8,14,2.5,Buzlanma Riski
8,15,2.6,Buzlanma Riski
8,16,-1.9,Buzlanma
8,17,-1.6,Buzlanma
8,18,-2.2,Buzlanma
8,19,-2.6,Buzlanma
8,20,-2.1,Buzlanma
8,21,-2.6,Buzlanma
8,22,-2.4,Buzlanma
8,23,-2.4,Buzlanma
9,0,-4.5,Buzlanma
9,1,-4.1,Buzlanma
9,2,-4.1,Buzlanma
9,3,-4.0,Buzlanma
9,4,-4.1,Buzlanma
9,5,-3.6,Buzlanma
9,6,-2.5,Buzlanma
9,7,-1.4,Buzlanma
9,8,0.2,Buzlanma Riski
9,9,1.5,Buzlanma Riski
9,10,2.3,Buzlanma Riski
9,11,2.8,Buzlanma Riski
9,12,3.0,Buzlanma Riski
9,13,2.2,Buzlanma Riski
9,14,1.0,Buzlanma Riski
9,15,-1.0,Buzlanma
9,16,-1.2,Buzlanma
9,17,-3.3,Buzlanma
9,18,-4.2,Buzlanma
9,19,-4.2,Buzlanma
9,20,-4.1,Buzlanma
9,21,-4.2,Buzlanma
9,22,-4.1,Buzlanma
9,23,-4.1,Buzlanma
10,0,-6.1,Buzlanma
10,1,-6.1,Buzlanma
10,2,-6.5,Buzlanma
10,3,-7.3,Buzlanma
10,4,-7.2,Buzlanma
10,5,-6.8,Buzlanma
10,6,-3.0,Buzlanma
10,7,-0.6,Buzlanma
10,8,1.4,Buzlanma Riski
10,9,3.1,Buzlanma Riski
10,10,3.7,Buzlanma Riski
10,11,3.6,Buzlanma Riski
10,12,2.8,Buzlanma Riski
10,13,1.4,Buzlanma Riski
10,14,-1.0,Buzlanma
10,15,-1.6,Buzlanma
10,16,-2.0,Buzlanma
10,17,-2.3,Buzlanma
10,18,-2.3,Buzlanma
10,19,-3.1,Buzlanma
10,20,-3.4,Buzlanma
10,21,-3.0,Buzlanma
10,22,-3.1,Buzlanma
10,23,-2.5,Buzlanma
11,0,-2.5,Buzlanma
11,1,-2.9,Buzlanma
11,2,-2.8,Buzlanma
11,3,-2.8,Buzlanma
11,4,-2.8,Buzlanma
11,5,-3.5,Buzlanma
11,6,-2.6,Buzlanma
11,7,-1.5,Buzlanma
11,8,-0.5,Buzlanma
11,9,0.2,Buzlanma Riski
11,10,0.6,Buzlanma Riski
11,11,0.6,Buzlanma Riski
11,12,-0.2,Buzlanma
11,13,-1.3,Buzlanma
11,14,-2.0,Buzlanma
11,15,-3.5,Buzlanma
11,16,-4.7,Buzlanma
11,17,-5.1,Buzlanma
11,18,-4.6,Buzlanma
11,19,-5.0,Buzlanma
11,20,-5.3,Buzlanma
11,21,-5.5,Buzlanma
11,22,-5.9,Buzlanma
11,23,-6.1,Buzlanma
12,0,-6.5,Buzlanma
12,1,-6.8,Buzlanma
12,2,-6.6,Buzlanma
12,3,-6.9,Buzlanma
12,4,-7.2,Buzlanma
12,5,-6.9,Buzlanma
12,6,-5.2,Buzlanma
12,7,-3.7,Buzlanma
12,8,-2.5,Buzlanma
12,9,-1.6,Buzlanma
12,10,-1.1,Buzlanma
12,11,-1.2,Buzlanma
12,12,-1.4,Buzlanma
12,13,-2.1,Buzlanma
12,14,-3.8,Buzlanma
12,15,-5.2,Buzlanma
12,16,-6.0,Buzlanma
12,17,-6.5,Buzlanma
12,18,-6.7,Buzlanma
12,19,-6.6,Buzlanma
12,20,-7.0,Buzlanma
12,21,-7.6,Buzlanma
12,22,-7.9,Buzlanma
12,23,-8.2,Buzlanma
13,0,-8.1,Buzlanma
13,1,-8.4,Buzlanma
13,2,-8.5,Buzlanma
13,3,-8.8,Buzlanma
13,4,-9.7,Buzlanma
13,5,-9.1,Buzlanma
13,6,-7.2,Buzlanma
13,7,-5.6,Buzlanma
13,8,-4.2,Buzlanma
13,9,-2.8,Buzlanma
13,10,-1.9,Buzlanma
13,11,-1.6,Buzlanma
13,12,-2.5,Buzlanma
13,13,-3.4,Buzlanma
13,14,-4.6,Buzlanma
13,15,-6.5,Buzlanma
13,16,-7.1,Buzlanma
13,17,-7.7,Buzlanma
13,18,-8.1,Buzlanma
13,19,-8.5,Buzlanma
13,20,-8.8,Buzlanma
13,21,-9.0,Buzlanma
13,22,-9.2,Buzlanma
13,23,-9.3,Buzlanma
14,0,-12.4,Buzlanma
14,1,-11.4,Buzlanma
14,2,-11.7,Buzlanma
14,3,-11.5,Buzlanma
14,4,-10.5,Buzlanma
14,5,-10.2,Buzlanma
14,6,-6.9,Buzlanma
14,7,-4.8,Buzlanma
14,8,-2.3,Buzlanma
14,9,-0.3,Buzlanma
14,10,1.0,Buzlanma Riski
14,11,1.7,Buzlanma Riski
14,12,0.2,Buzlanma Riski
14,13,-0.6,Buzlanma
14,14,-3.8,Buzlanma
14,15,-5.8,Buzlanma
14,16,-5.4,Buzlanma
14,17,-5.9,Buzlanma
14,18,-6.6,Buzlanma
14,19,-7.1,Buzlanma
14,20,-7.5,Buzlanma
14,21,-7.8,Buzlanma
14,22,-7.8,Buzlanma
14,23,-7.7,Buzlanma
15,0,-9.3,Buzlanma
15,1,-9.8,Buzlanma
15,2,-9.8,Buzlanma
15,3,-9.8,Buzlanma
15,4,-9.6,Buzlanma
15,5,-9.3,Buzlanma
15,6,-4.8,Buzlanma
15,7,-2.1,Buzlanma
15,8,-0.0,Buzlanma
15,9,1.7,Buzlanma Riski
15,10,2.8,Buzlanma Riski
15,11,3.4,Buzlanma Riski
15,12,1.0,Buzlanma Riski
15,13,-0.1,Buzlanma
15,14,-2.6,Buzlanma
15,15,-5.0,Buzlanma
15,16,-5.1,Buzlanma
15,17,-6.3,Buzlanma
15,18,-6.9,Buzlanma
15,19,-7.3,Buzlanma
15,20,-7.6,Buzlanma
15,21,-7.9,Buzlanma
15,22,-8.2,Buzlanma
15,23,-8.3,Buzlanma
16,0,-9.7,Buzlanma
16,1,-9.7,Buzlanma
16,2,-9.6,Buzlanma
16,3,-9.4,Buzlanma
16,4,-9.2,Buzlanma
16,5,-8.7,Buzlanma
16,6,-4.8,Buzlanma
16,7,-1.9,Buzlanma
16,8,0.2,Buzlanma Riski
16,9,1.9,Buzlanma Riski
16,10,3.3,Buzlanma Riski
16,11,4.2,Normal
16,12,1.0,Buzlanma Riski
16,13,0.1,Buzlanma Riski
16,14,-4.0,Buzlanma
16,15,-4.7,Buzlanma
16,16,-5.3,Buzlanma
16,17,-5.8,Buzlanma
16,18,-6.1,Buzlanma
16,19,-6.4,Buzlanma
16,20,-6.9,Buzlanma
16,21,-7.1,Buzlanma
16,22,-7.2,Buzlanma
16,23,-7.2,Buzlanma
17,0,-8.5,Buzlanma
17,1,-8.4,Buzlanma
17,2,-8.3,Buzlanma
17,3,-7.9,Buzlanma
17,4,-7.8,Buzlanma
17,5,-7.3,Buzlanma
17,6,-5.0,Buzlanma
17,7,-3.0,Buzlanma
17,8,-1.2,Buzlanma
17,9,-0.2,Buzlanma
17,10,0.9,Buzlanma Riski
17,11,1.6,Buzlanma Riski
17,12,-0.3,Buzlanma
17,13,-0.9,Buzlanma
17,14,-4.9,Buzlanma
17,15,-5.4,Buzlanma
17,16,-5.6,Buzlanma
17,17,-6.3,Buzlanma
17,18,-6.8,Buzlanma
17,19,-7.1,Buzlanma
17,20,-7.4,Buzlanma
17,21,-7.4,Buzlanma
17,22,-7.3,Buzlanma
17,23,-7.3,Buzlanma
18,0,-8.5,Buzlanma
18,1,-8.2,Buzlanma
18,2,-7.9,Buzlanma
18,3,-8.5,Buzlanma
18,4,-8.2,Buzlanma
18,5,-7.9,Buzlanma
18,6,-4.9,Buzlanma
18,7,-3.0,Buzlanma
18,8,-1.5,Buzlanma
18,9,-0.3,Buzlanma
18,10,0.7,Buzlanma Riski
18,11,0.9,Buzlanma Riski
18,12,0.5,Buzlanma Riski
18,13,-0.5,Buzlanma
18,14,-1.8,Buzlanma
18,15,-1.9,Buzlanma
18,16,-3.1,Buzlanma
18,17,-2.9,Buzlanma
18,18,-2.4,Buzlanma
18,19,-3.3,Buzlanma
18,20,-4.4,Buzlanma
18,21,-4.4,Buzlanma
18,22,-4.0,Buzlanma
18,23,-4.0,Buzlanma
19,0,-4.6,Buzlanma
19,1,-4.9,Buzlanma
19,2,-5.0,Buzlanma
19,3,-5.5,Buzlanma
19,4,-6.5,Buzlanma
19,5,-6.2,Buzlanma
19,6,-3.5,Buzlanma
19,7,-1.7,Buzlanma
19,8,-0.1,Buzlanma
19,9,1.2,Buzlanma Riski
19,10,2.0,Buzlanma Riski
19,11,2.4,Buzlanma Riski
19,12,1.5,Buzlanma Riski
19,13,0.3,Buzlanma Riski
19,14,-2.9,Buzlanma
19,15,-4.2,Buzlanma
19,16,-4.7,Buzlanma
19,17,-4.4,Buzlanma
19,18,-4.5,Buzlanma
19,19,-5.0,Buzlanma
19,20,-5.4,Buzlanma
19,21,-5.7,Buzlanma
19,22,-5.9,Buzlanma
19,23,-6.1,Buzlanma
20,0,-8.3,Buzlanma
20,1,-8.1,Buzlanma
20,2,-8.2,Buzlanma
20,3,-8.2,Buzlanma
20,4,-8.1,Buzlanma
